# HAGRID cost parameters -- single source of truth for the unified cost function
# version: 0.7-draft   date: 2026-08-14   status: PARAMETERS COMPLETE (1 out-of-scope TODO), do not cite
#
# Cost function (per scenario arm, evaluated on FLEET-WIDE aggregates):
#   C = sum_over_vehicle_types( c_veh * N_veh + c_time * VHT + c_maint_per_km * VKT )
#       + ENERGY_MJ / diesel_lhv_mj_per_l * diesel_price_eur_per_l
#       + overtime_factor * c_time * sum(max(0, durH - overtime_threshold_h))
#       + evening_surcharge_factor * c_time * hours_after_2100
#       + sunday_holiday_surcharge_factor * c_time * hours_on_sun_hol   (annual figures ONLY)
#       + overhead_factor * (all of the above)          <-- ZERO by user decision 2026-08-14
#
# SCOPE: THE HEADLINE KPI IS "DIRECT OPERATING COST", NOT "TOTAL SYSTEM COST" (user decision
# 2026-08-14). C contains four things: driver hours, vehicle capital, spare parts, energy.
# It deliberately contains NO dispatch centre, booking platform, workshop labour, depot,
# administration or management. Use that name in every table and figure -- "total system cost"
# would claim a completeness this model does not deliver.
# WHY OMITTING OVERHEAD IS SAFE, and it is algebra rather than fairness: for an arm-independent
# factor f, C_arm = (1+f) * D_arm, so f cancels EXACTLY in every ratio between arms -- and also
# in the modular break-even bound, because it multiplies both sides of C(1d) = C(baseline).
# A pinned f would be spurious precision on a number that then divides out.
# CHECKED AGAINST THE THREE PLAUSIBLE SCALING LAWS, since f only cancels cleanly if overhead is
# proportional to direct cost:
#   - proportional to direct cost (blanket admin markup)      -> cancels exactly
#   - proportional to fleet size (depot, fleet admin)         -> 1d has FEWER vehicles, so
#     omitting it UNDERSTATES 1d
#   - proportional to demand (dispatch per ride/parcel)       -> parcel and passenger counts are
#     identical across arms by construction -> cancels exactly
# Every case is neutral or conservative for the integration hypothesis; none runs the other way.
# There is also a structural asymmetry in the same direction: the baseline runs TWO operations
# (separate LMD and DRT) while 1c/1d run ONE, so integration saves administration that this model
# cannot see. Omitting overhead forgoes an argument rather than inventing one.
# WHERE THE OMISSION IS NOT NEUTRAL: the AUTONOMY decomposition. Removing drivers removes a direct
# cost while adding teleoperation and remote supervision, which are overhead this model omits --
# so an autonomy saving computed here is an OVERestimate. Applies to the BACKLOG autonomy item
# only, not to 1c/1d. It must be stated there, or the omission silently becomes a bias.
#
# All three surcharge factors are UPLIFTS, not multipliers: 0.0 means no surcharge, 0.20 means
# +20 pct on the affected hours only.
#
# NO separate swap or station term (user decision 2026-08-14) -- see SWAP INFRASTRUCTURE below.
#
# CONVENTIONS FIXED BY USER 2026-08-13:
#   - VHT = durH (tour/shift duration incl. dwell), NOT travelH. Rationale: the driver is
#     paid for the shift, not for moving. See METHODS-LOG 2.33.
#   - c_dist is vehicle-type specific, never global. The fleet mix is endogenous
#     (0-93 pct km share size_s, METHODS-LOG 2.7) -- a global rate would erase the mix effect.
#   - Evaluate C on fleet-wide aggregates, then split per M11 (marginal attribution:
#     parcels pay accepted totalTimeLoss * c_time + delivery km * c_dist; pax pay the rest).
#     Headline KPI is total system cost; the M11 split is a secondary reporting figure.
#   - costActivity is SUBSUMED by c_time * VHT -- never add it on top (double count).
#   - costTimeWindowPenalty stays OUT (5 EUR/s is a scoring device, not a price).
#
# LABOUR DERIVATION (identical formula for every arm; fill the assumption rows, derive the rate).
# The three special-payment terms are additive and any of them may be 0 -- this keeps each
# source's own wording intact (LMD: one 13th monthly salary; DRT: an absolute annual sum):
#   base_annual   = wage_tariff_hourly * weekly_hours * 52
#   gross_annual  = base_annual
#                   + annual_special_payment_months * (base_annual / 12)
#                   + annual_special_payment_eur
#                   + holiday_bonus
#   employer_cost = gross_annual * (1 + employer_oncost_rate)
#   daily_hours   = weekly_hours / 5
#   productive_h  = weekly_hours * 52 - (vacation_days + public_holidays + sick_days) * daily_hours
#   c_time        = employer_cost / productive_h
#
# DISTANCE CHANNEL (added v0.3). Two sources that turned out to validate each other:
#   Hoerl/Briand/Puchinger (TRD 2025, Lyon) prices distance as FUEL ONLY at 14.40 EUR/100 km.
#   ICCT/RAP gives 9.5 l/100 km at 1.16 EUR/l (2021 prices) = 11.02 EUR/100 km, plus 11 EUR/100 km
#   maintenance. The implied diesel price behind Hoerl is 14.40 / 9.5 = 1.52 EUR/l -- i.e. the same
#   consumption assumption at a later price vintage. The sources are consistent.
#   THE GAP THEY CLOSE TOGETHER: Hoerl's fixed cost carries no maintenance and his distance term is
#   fuel only, so maintenance is missing from his model entirely. ICCT supplies exactly that term.
#   Therefore: maintenance sits in c_dist (distance-proportional, per ICCT), NOT in c_veh.
#
#   Consumption is NOT taken from ICCT as a flat 9.5 l/100 km. The EMEP/EEA channel already in this
#   repo resolves consumption per N1 segment (data/emep_hot_factors.csv, mapping in
#   extract_emissions.py:31-33), so cost and emissions can run off ONE consumption assumption
#   instead of drifting apart. At 30 km/h: N1-II 2.183 MJ/km, N1-III 3.123 MJ/km (+43 pct).
#   Converted at 35.65 MJ/l that is 6.12 vs 8.76 l/100 km. ICCT's 9.5 sits 8 pct above the N1-III
#   figure -- close, and its Ford Transit 350E (4490 kg GVW) is indeed an N1-III-or-heavier vehicle.
#   Using ICCT's flat 9.5 for all three van types would overstate size_s by 55 pct.
#
# SWAP INFRASTRUCTURE -- deliberately NOT a separate cost term (user decision 2026-08-14).
# Three reasons, all difference arguments: what is identical in both arms cancels in a comparison.
#   1. The swap OPERATION is already priced. Modular.RETOOLING_S = 420 s is a real
#      DefaultDrtCapacityChangeTask that blocks the vehicle, so it lands in VHT and is charged at
#      c_time. Deadhead lands in VKT. A handling flat rate on top would double-count that time.
#      Basis: the driver performs the swap himself, like a tractor-trailer driver coupling a
#      trailer -- consistent with "Fahreroekonomie unveraendert" (METHODS-LOG 1068).
#      NOT justified by U-Shift autonomy: autonomy is explicitly out of scope (METHODS-LOG 4.4),
#      and assuming an autonomous swap while keeping a paid driver for the drive is inconsistent.
#   2. The swap MECHANISM is vehicle capital, not station capital -- the driveboard lifts the
#      capsule itself. It therefore sits inside c_veh_drt_modular.
#   3. Standing area and pre-tour commissioning occur in BOTH arms (an LMD van is also parked and
#      loaded before 07:30, outside durH). 100 parcels in one van or 2 x 50 in two capsules is the
#      same effort per parcel. Cancels in the comparison.
# THE CAPSULE STOCK is inside c_veh_drt_modular: one driveboard + TWO capsules (one pax, one
# freight). At low theta most vehicles never swap and would need only one, so this OVERSTATES
# slightly -- a bias that runs against 1d, which is the acceptable direction.
# WHAT STILL HAS TO BE REPORTED -- a quantity, not a price: peak_concurrent_swaps per depot
# (ModularKpiHandler.java:177). METHODS-LOG 2.19 assumes unlimited parallel swap bays; the peak
# figure is what decides whether dropping the cost is trivial (N ca. 3) or heroic (N ca. 40).
# Costing nothing does not make the bay requirement disappear.
#
# STATUS VALUES:
#   SET      = value fixed and sourced, ready to use
#   TODO     = must be researched. A PROVISIONAL value may already be present so the
#              derivation runs -- a filled value with status TODO is NOT sourced.
#   DERIVED  = computed from the assumption rows by the loader. The value column stays EMPTY
#              on purpose; the current result is noted with its date so a stale figure is
#              recognisable as stale.
#   REVIEW   = value inherited from the legacy model, source unknown -- confirm or replace
#   OPTIONAL = deliberately 0 / omitted; if you enter a value, also state why
#
# EDITING: use a text editor or VS Code, NOT Excel. German Excel rewrites this as
# semicolon-separated with decimal commas, which silently breaks the pandas reader.
# Read with: pd.read_csv(path, comment='#', encoding='utf-8')
#
param_id,arm,vehicle_type,kind,value,unit,status,source,source_date,note
price_base_year,all,,convention,2026,year,SET,"DHL Cottbus posting and TV-N Sachsen entries are 2026 vintage",2026-08-13,"Deflate older values to this year. Currently NOT deflated: Hoerl fixed cost (2025 publication, Lyon) and ICCT maintenance (2021 prices)"
operating_days_per_year_drt,drt,,convention,365,d/a,SET,"User decision: DRT runs 7 days a week",2026-08-13,"Normalises annual literature values and spreads annual vehicle capital over operating days"
operating_days_per_year_lmd,lmd,,convention,300,d/a,SET,"User decision: LMD runs Mon-Sat, not Sundays",2026-08-13,"Deliberately different from the DRT arm's 365: a vehicle running more days spreads the same annual capital over more days and therefore has a LOWER daily rate. One shared value would have biased c_veh between arms"
vht_basis,all,,convention,durH,-,SET,"User decision",2026-08-13,"Shift duration incl. dwell; travelH would reinstate the old blindness with the opposite sign"
fuel_cost_basis,all,,convention,energy_mj,-,SET,"User decision",2026-08-13,"Energy cost = ENERGY_MJ / diesel_lhv_mj_per_l * diesel_price_eur_per_l, taken straight from the emissions extractor. Rows are emitted PER FLEET (extract_emissions.py:616-620: freight_energy_final, drt_energy_final, freight_modular_energy_final, plus total_*), which is exactly the aggregation level C is evaluated at -- no new instrument needed. Type differentiation happens UPSTREAM: vehicle_emissions() is called per vehicle with its own N1 segment, so the fleet total is already type-weighted. CONSEQUENCE: c_dist must NOT contain a fuel component any more, it collapses to c_maint_per_km -- otherwise fuel is counted twice. BEV: the _bev suffixed rows exist in parallel, so the electric switch is a price swap (MJ / 3.6 * EUR per kWh)"
lmd_wage_tariff_hourly,lmd,,assumption,17.20,EUR/h,SET,"DHL job posting Cottbus, delivery driver full-time",2026-08-13,"Tariff hourly wage. Likely a slight OVERestimate for the sector: other LSPs use subcontractors with no published rates. Bias direction favours the integration hypothesis -- see crosscheck_lmd_daily_total"
lmd_weekly_hours,lmd,,assumption,38.5,h/week,SET,"DHL job posting Cottbus",2026-08-13,
lmd_annual_special_payment_months,lmd,,assumption,1.0,monthly salaries,SET,"DHL job posting Cottbus: 13th month salary paid monthly",2026-08-13,
lmd_annual_special_payment_eur,lmd,,assumption,0.0,EUR/a,SET,"Not applicable: DHL states the special payment in monthly salaries",2026-08-13,"Kept for schema symmetry with the DRT arm"
lmd_holiday_bonus,lmd,,assumption,332.0,EUR/a,SET,"DHL job posting Cottbus: 332 EUR in July from year 2",2026-08-13,"Applied from year 2; treated as recurring"
lmd_employer_oncost_rate,lmd,,assumption,0.21,share,SET,"User decision",2026-08-13,"Pension/health/care/unemployment insurance + U1/U2/insolvency levy + accident insurance. TODO if challenged: itemise the components"
lmd_vacation_days,lmd,,assumption,30,d/a,SET,"User decision",2026-08-13,"Same as TV-N. Note that operating_days_per_year_lmd = 300 (Mon-Sat) while the labour derivation uses a 5-day week -- these describe different things: the VEHICLE runs 6 days, an individual DRIVER does not"
lmd_public_holidays,lmd,,assumption,11,d/a,SET,"Saxony statutory holidays incl. Repentance Day",2026-08-13,"Deliberately NOT reduced for holidays falling on weekends -- conservative, and identical to drt_public_holidays so no artificial cost difference between arms is introduced"
lmd_sick_days,lmd,,assumption,15,d/a,SET,"User decision",2026-08-13,"Sector average; a documented sickness rate would be stronger"
c_time_lmd,lmd,all ct_cep_*,derived,,EUR/h,DERIVED,,,"Derivation on 2026-08-13 gives 28.99 EUR/h (gross 37636 EUR/a, employer cost 45539 EUR/a, 1571 productive h). One driver per van, so identical across all three van types"
crosscheck_vehicle_fixed_hoerl,lmd,ct_cep_size_s,crosscheck,370.0,EUR/month,SET,"Hoerl/Briand/Puchinger, Decarbonization policies for last-mile parcels, TRD 2025, Lyon case study",2026-08-13,"DEMOTED FROM POINT VALUE TO ANCHOR 2026-08-14 -- the capital input is now the German leasing rate; this figure sets the LEVEL via insurance_tax_per_vehicle_year. Van with 100 parcel capacity -- an EXACT capacity match to ct_cep_size_s. Contains no labour and, per the paper's structure, no maintenance either (their distance term is fuel only). Lyon prices, publication 2025; French vs German leasing and insurance differ somewhat -- declare as an approximation"
insurance_tax_per_vehicle_year,all,,assumption,1800.0,EUR/a,SET,"Residual of Hoerl 370 EUR/month minus the German bare leasing rate of 220 EUR/month for the equivalent van; user decision 2026-08-14 to carry it as a flat rate",2026-08-14,"FLAT RATE FOR EVERY VEHICLE TYPE, by user decision (it is a model, this is good enough). Covers liability plus comprehensive insurance, vehicle tax and roadworthiness inspection -- everything a leasing rate does NOT contain. Plausible split: ca. 1500 insurance + ca. 300 tax. BE HONEST ABOUT THE CONSTRUCTION: because 1800 is defined as Hoerl minus the leasing rate, c_veh_ct_cep_size_s reproduces Hoerl's 14.80 EUR/d EXACTLY. That is an identity, NOT a validation -- do not present it as convergence. What the two sources actually deliver jointly is a division of labour: the German leasing rates give the RELATIVE structure between the three van sizes (one market, one method, ratios 1 : 1.205 : 1.455), Hoerl anchors the LEVEL. Applied unchanged to the DRT vehicle so all arms share one insurance convention"
lmd_vehicle_fixed_monthly_size_s,lmd,ct_cep_size_s,assumption,220.0,EUR/month,SET,"leasingmarkt.de, 36-month business lease, net of VAT",2026-08-14,"REPLACES Hoerl's 370 EUR/month as the CAPITAL input (2026-08-14): 220 is a bare finance-lease rate, 370 evidently includes insurance and tax, so they are not competing estimates of the same thing -- see insurance_tax_per_vehicle_year. CAVEAT ON LEASING PORTAL RATES: headline offers typically assume a down payment and a mileage cap of 10-15000 km/a. That cap FITS here -- annual_km_per_vehicle_lmd is ca. 13700 km/a -- but it is exactly why the same route must NOT be used for the DRT vehicle at ca. 100000 km/a"
lmd_vehicle_fixed_monthly_size_m,lmd,ct_cep_size_m,assumption,265.0,EUR/month,SET,"leasingmarkt.de, 36-month business lease, net of VAT",2026-08-14,"Same source and method as size_s, which is the point: the three van rates now come from ONE market and ONE method, so the relation between them is not a method artefact. Superseded note follows -- STILL OPEN after Hoerl and Brotcorne -- both describe a small van (Brotcorne's 4.8 l/100km is below our size_s), so neither transfers to a 165- or 230-parcel vehicle. Source separately, but NOT by scaling the legacy XML ratio: those values contained labour, and once a correct labour rate is removed they leave no vehicle component at all (154.41 minus 203 EUR labour for a 7 h tour is negative). The legacy relation is unusable as a scaling basis"
lmd_vehicle_fixed_monthly_size_l,lmd,ct_cep_size_l,assumption,320.0,EUR/month,SET,"leasingmarkt.de, 36-month business lease, net of VAT",2026-08-14,"Same source and method as size_s and size_m. Capacity 230 parcels, 6 m3"
c_veh_ct_cep_size_s,lmd,ct_cep_size_s,derived,,EUR/d,DERIVED,,,"= (lmd_vehicle_fixed_monthly_size_s * 12 + insurance_tax_per_vehicle_year) / operating_days_per_year_lmd = (2640 + 1800) / 300 = 14.80 EUR/d on 2026-08-14. Identical to Hoerl BY CONSTRUCTION, see insurance_tax_per_vehicle_year -- not a validation. Brotcorne's 22.41 EUR/d is the upper bound of the band. NOTE: both sit BELOW the 30-60 EUR/d magnitude asserted in METHODS-LOG 2.33 -- that was an estimate, these are sources. Part of the difference is maintenance, which now lives in c_maint_per_km"
c_veh_ct_cep_size_m,lmd,ct_cep_size_m,derived,,EUR/d,DERIVED,,,"= (lmd_vehicle_fixed_monthly_size_m * 12 + insurance_tax_per_vehicle_year) / operating_days_per_year_lmd = (3180 + 1800) / 300 = 16.60 EUR/d on 2026-08-14"
